Age,Gender,Income,Socks_Owned,Frequent_Losers,City_Location
44,Female,25841,8,False,Charlotte
94,Male,135636,16,False,Washington
64,Female,116639,19,False,New York
40,Male,85988,20,False,New York
66,Male,80867,8,False,San Francisco
30,Male,77074,9,False,Indianapolis
32,Male,44682,6,False,Denver
75,Female,118308,19,False,Phoenix
40,Male,74415,14,False,San Antonio
37,Male,52904,11,False,Los Angeles
28,Male,61752,14,False,San Jose
21,Female,39896,10,False,Jacksonville
32,Male,34501,15,False,San Antonio
72,Male,66727,4,False,New York
42,Male,29855,10,False,Phoenix
67,Male,92768,2,False,San Jose
46,Male,77758,19,False,San Francisco
25,Male,77120,2,False,Houston
29,Female,31702,1,False,Austin
64,Male,42907,8,False,Houston
43,Male,133791,19,False,San Antonio
35,Male,44772,13,False,San Francisco
84,Male,130161,4,False,Philadelphia
41,Female,44355,4,False,Denver
72,Male,111631,8,False,Indianapolis
41,Male,127091,3,False,Indianapolis
60,Female,128021,12,False,Los Angeles
46,Female,50871,13,False,Austin
17,Male,24796,11,False,Denver
47,Female,86258,19,False,Austin
67,Male,79419,2,False,San Antonio
47,Female,76379,18,False,San Diego
82,Female,110205,20,False,Austin
56,Male,96774,11,False,Fort Worth
63,Female,72046,17,False,San Diego
52,Female,81553,6,False,Austin
45,Female,98664,20,False,Seattle
43,Male,94875,9,False,Fort Worth
81,Female,111686,3,False,San Antonio
97,Male,148926,1,False,Los Angeles
56,Male,46880,15,False,Indianapolis
67,Female,56876,14,False,Chicago
24,Male,73987,8,False,Fort Worth
49,Female,47841,14,False,Dallas
60,Female,38985,12,False,Charlotte
51,Female,142788,9,False,Washington
35,Male,53976,4,False,Austin
51,Male,136770,9,False,Austin
83,Female,141380,11,False,San Antonio
54,Male,117354,5,False,Seattle
24,Female,69401,14,False,Fort Worth
50,Male,85489,2,False,New York
33,Female,66718,17,False,Charlotte
75,Male,84531,20,False,Philadelphia
42,Male,110049,8,False,Seattle
51,Female,85239,12,False,San Francisco
73,Male,69398,15,False,Los Angeles
21,Male,68847,14,False,Phoenix
41,Female,74934,8,False,Indianapolis
72,Male,142294,18,True,Denver
66,Female,67928,1,False,Austin
39,Female,105425,13,False,San Francisco
89,Male,146117,8,False,Dallas
21,Female,49998,16,False,Seattle
86,Male,126091,5,False,Philadelphia
69,Male,113532,16,False,San Francisco
54,Female,130719,20,False,Columbus
21,Female,23741,11,False,Columbus
43,Male,30179,16,False,San Diego
67,Male,62332,17,False,San Francisco
44,Female,23307,15,False,Phoenix
9,Male,26777,1,False,San Jose
23,Male,73034,6,False,San Antonio
25,Female,67477,10,False,San Antonio
81,Female,127752,11,False,Austin
9,Male,25018,11,False,Phoenix
47,Female,64000,10,False,Washington
53,Male,116849,2,False,Jacksonville
47,Female,73311,7,False,San Antonio
71,Male,90661,16,False,Jacksonville
62,Female,93567,4,False,Phoenix
52,Female,137534,6,False,Houston
56,Male,70379,3,False,San Jose
18,Male,21531,8,False,Austin
36,Female,26742,20,False,Los Angeles
85,Female,122556,9,False,San Francisco
57,Female,135074,10,False,San Francisco
12,Male,23680,20,False,Chicago
49,Female,115078,11,False,New York
31,Male,33531,3,False,Washington
83,Male,140017,3,False,Phoenix
48,Female,92811,4,False,Dallas
52,Female,117788,12,False,Dallas
55,Male,40181,14,False,New York
34,Female,59059,16,False,Columbus
78,Male,104687,14,False,New York
91,Male,123481,4,False,New York
32,Male,35603,15,False,Seattle
46,Female,71256,9,False,Charlotte
58,Female,110182,7,False,San Antonio
84,Female,126992,2,False,Houston
65,Female,81699,16,False,Washington
70,Female,134217,11,False,Indianapolis
34,Female,66437,11,False,San Antonio
78,Male,109121,12,False,San Francisco
10,Male,37891,7,False,Los Angeles
44,Female,68913,18,False,San Jose
50,Male,140160,12,False,Houston
46,Male,121056,7,False,Fort Worth
33,Female,38287,7,False,Dallas
33,Female,105912,18,False,Indianapolis
66,Male,77772,17,False,Columbus
40,Female,106157,9,False,Dallas
38,Female,52522,11,False,Indianapolis
28,Male,62616,10,False,Fort Worth
64,Male,50131,18,False,Austin
21,Male,22301,13,False,Fort Worth
47,Male,128284,17,False,Philadelphia
56,Male,74023,9,False,Columbus
53,Female,65371,13,False,San Antonio
61,Male,95049,6,False,New York
48,Male,140463,9,False,Phoenix
68,Male,89370,10,False,San Francisco
56,Male,62150,8,False,San Antonio
45,Male,23684,5,False,Charlotte
49,Male,73598,12,False,Austin
19,Female,46665,4,False,Houston
16,Male,32689,9,False,Charlotte
29,Female,73638,16,False,Austin
49,Male,120739,15,False,Jacksonville
63,Male,98943,11,False,Philadelphia
78,Male,145918,7,False,Los Angeles
84,Male,119785,2,False,Austin
42,Male,68925,14,False,Fort Worth
43,Female,67281,7,False,Indianapolis
74,Male,121105,2,False,San Antonio
74,Female,126210,7,False,Washington
70,Male,88396,6,False,Dallas
57,Female,60222,2,False,Dallas
67,Female,145406,8,False,San Francisco
62,Male,114765,19,False,Chicago
66,Male,104405,18,False,Chicago
39,Male,123981,17,False,Columbus
63,Female,94976,11,False,Chicago
64,Female,92708,5,False,Chicago
93,Female,149801,2,False,Chicago
49,Male,116365,11,False,Austin
48,Female,144146,1,False,Jacksonville
33,Female,105142,2,False,Philadelphia
23,Female,63526,8,False,Washington
31,Male,24409,2,False,Philadelphia
43,Male,96590,13,False,Denver
53,Male,53627,17,False,Seattle
67,Male,129844,15,False,Los Angeles
41,Male,106174,14,False,San Antonio
57,Male,135688,7,False,Columbus
30,Male,54970,3,False,Fort Worth
34,Male,35260,18,False,Seattle
70,Male,94121,13,False,Dallas
17,Male,23143,4,False,Dallas
65,Female,53416,4,False,Denver
54,Male,76970,14,False,Jacksonville
53,Female,52405,18,False,Charlotte
61,Male,47495,7,False,Dallas
